timestamp,camera,object,confidence,x1,y1,x2,y2
2025-11-25 21:44:18.606,cam1,watch,0.47156864404678345,2,4,402,360
2025-11-25 21:44:18.606,cam1,watch,0.3378462493419647,198,260,240,297
2025-11-25 21:44:18.715,cam1,watch,0.4710202217102051,2,4,402,360
2025-11-25 21:44:18.715,cam1,watch,0.33708059787750244,198,260,240,297
2025-11-25 21:44:18.805,cam1,watch,0.46902039647102356,2,4,402,360
2025-11-25 21:44:18.805,cam1,watch,0.34289053082466125,198,260,240,297
2025-11-25 21:44:18.906,cam1,watch,0.5497962832450867,5,0,395,360
2025-11-25 21:44:19.022,cam1,watch,0.4723494052886963,2,4,402,360
2025-11-25 21:44:19.022,cam1,watch,0.3437999188899994,198,260,240,297
2025-11-25 21:44:19.129,cam1,watch,0.4714601933956146,2,4,402,360
2025-11-25 21:44:19.129,cam1,watch,0.34489569067955017,198,260,240,297
2025-11-25 21:44:19.224,cam1,watch,0.46433672308921814,2,4,402,360
2025-11-25 21:44:19.224,cam1,watch,0.3466205894947052,198,260,240,297
2025-11-25 21:44:19.335,cam1,watch,0.46453720331192017,2,4,402,360
2025-11-25 21:44:19.335,cam1,watch,0.34663131833076477,198,260,240,297
2025-11-25 21:44:19.433,cam1,watch,0.46132364869117737,2,4,402,360
2025-11-25 21:44:19.433,cam1,watch,0.34468400478363037,198,260,240,297
2025-11-25 21:44:19.542,cam1,watch,0.46200886368751526,2,4,402,360
2025-11-25 21:44:19.542,cam1,watch,0.3467459976673126,198,260,240,297
2025-11-25 21:44:19.658,cam1,watch,0.4444253742694855,2,4,402,360
2025-11-25 21:44:19.658,cam1,watch,0.35649123787879944,198,260,240,297
2025-11-25 21:44:19.773,cam1,watch,0.449204683303833,2,4,402,360
2025-11-25 21:44:19.773,cam1,watch,0.32722386717796326,198,261,240,297
2025-11-25 21:44:19.896,cam1,watch,0.4397580325603485,2,4,402,360
2025-11-25 21:44:19.896,cam1,watch,0.30651530623435974,199,261,240,297
2025-11-25 21:44:20.012,cam1,watch,0.40131300687789917,2,5,407,360
2025-11-25 21:44:20.121,cam1,watch,0.4021745026111603,2,5,407,360
2025-11-25 21:44:20.208,cam1,watch,0.3700796365737915,2,6,407,360
2025-11-25 21:44:20.315,cam1,watch,0.3749947249889374,5,3,401,360
2025-11-25 21:44:20.428,cam1,watch,0.368478387594223,2,6,407,360
2025-11-25 21:44:20.547,cam1,watch,0.3708096146583557,2,6,407,360
2025-11-25 21:44:20.636,cam1,watch,0.40552911162376404,2,5,407,360
2025-11-25 21:44:20.745,cam1,watch,0.4272632598876953,2,5,406,360
2025-11-25 21:44:20.839,cam1,watch,0.42626047134399414,2,5,407,360
2025-11-25 21:44:20.941,cam1,watch,0.3029240667819977,3,3,411,360
2025-11-25 21:44:21.043,cam1,watch,0.2887605130672455,3,3,413,360
2025-11-25 21:44:21.044,cam1,watch,0.28135648369789124,55,335,120,360
2025-11-25 21:44:21.164,cam1,watch,0.27114805579185486,55,335,120,360
2025-11-25 21:44:21.164,cam1,watch,0.2651650011539459,3,3,413,360
2025-11-25 21:44:21.255,cam1,watch,0.2914569675922394,3,3,413,360
